date,product_id,store_id,quantity,revenue
2025-07-30,P101,S01,69,28182.36
2025-07-30,P101,S02,24,9802.56
2025-07-30,P101,S06,26,10619.44
2025-07-30,P101,S10,29,11844.76
2025-07-30,P102,S05,56,21246.4
2025-07-30,P103,S01,17,2043.57
2025-07-30,P103,S06,41,4928.61
2025-07-30,P103,S07,20,2404.2
2025-07-30,P103,S08,67,8054.07
2025-07-30,P104,S02,57,14629.62
2025-07-30,P104,S06,27,6929.82
2025-07-30,P104,S09,38,9753.08
2025-07-30,P104,S10,22,5646.52
2025-07-30,P105,S08,21,6730.5
2025-07-30,P105,S09,11,3525.5
2025-07-30,P106,S01,22,7543.8
2025-07-30,P106,S02,14,4800.6
2025-07-30,P106,S04,34,11658.6
2025-07-30,P106,S05,29,9944.1
2025-07-30,P106,S09,31,10629.9
2025-07-30,P106,S10,11,3771.9
2025-07-30,P107,S02,21,10215.66
2025-07-30,P107,S04,28,13620.88
2025-07-30,P107,S06,15,7296.9
2025-07-30,P107,S09,35,17026.1
2025-07-30,P108,S02,15,2183.25
2025-07-30,P109,S02,32,1402.88
2025-07-30,P109,S04,26,1139.84
2025-07-30,P109,S05,27,1183.68
2025-07-30,P109,S08,40,1753.6
2025-07-30,P110,S05,29,2885.79
2025-07-30,P110,S06,55,5473.05
2025-07-30,P111,S03,42,3198.3
2025-07-30,P111,S04,36,2741.4
2025-07-30,P111,S09,54,4112.1
2025-07-30,P112,S03,42,3705.24
2025-07-30,P112,S05,53,4675.66
2025-07-30,P112,S08,57,5028.54
2025-07-30,P112,S09,49,4322.78
2025-07-30,P113,S04,62,1616.34
2025-07-30,P114,S06,31,7912.13
2025-07-30,P114,S09,31,7912.13
2025-07-30,P114,S10,48,12251.04
2025-07-30,P115,S01,47,15428.69
2025-07-30,P115,S02,33,10832.91
2025-07-30,P115,S03,42,13787.34
2025-07-30,P115,S10,28,9191.56
2025-07-30,P116,S01,70,19698.7
2025-07-30,P116,S04,22,6191.02
2025-07-30,P116,S08,66,18573.06
2025-07-30,P117,S02,39,10141.56
2025-07-30,P117,S03,17,4420.68
2025-07-30,P117,S04,60,15602.4
2025-07-30,P117,S06,39,10141.56
2025-07-30,P117,S07,35,9101.4
2025-07-30,P117,S10,37,9621.48
2025-07-30,P118,S04,13,1810.38
2025-07-30,P118,S05,34,4734.84
2025-07-30,P119,S05,9,201.24
2025-07-30,P119,S06,14,313.04
2025-07-30,P119,S07,23,514.28
2025-07-30,P119,S08,29,648.44
2025-07-30,P119,S09,33,737.88
2025-07-30,P120,S03,17,3213.34
2025-07-30,P121,S05,37,6053.2
2025-07-30,P121,S10,28,4580.8
2025-07-30,P122,S07,14,182.42
2025-07-30,P123,S01,12,1680.0
2025-07-30,P123,S06,9,1260.0
2025-07-30,P123,S08,7,980.0
2025-07-30,P123,S09,28,3920.0
2025-07-30,P123,S10,9,1260.0
2025-07-30,P124,S08,25,829.75
2025-07-30,P125,S01,12,198.36
2025-07-30,P125,S03,6,99.18
2025-07-30,P125,S09,22,363.66
2025-07-30,P126,S01,21,1770.3
2025-07-30,P126,S05,24,2023.2
2025-07-30,P127,S03,15,2038.2
2025-07-30,P127,S07,9,1222.92
2025-07-30,P127,S10,37,5027.56
2025-07-30,P128,S06,33,2995.74
2025-07-30,P129,S03,5,569.35
2025-07-30,P129,S06,18,2049.66
2025-07-30,P130,S02,7,111.65
2025-07-30,P130,S10,12,191.4
2025-07-30,P131,S03,23,3617.44
2025-07-30,P131,S05,22,3460.16
2025-07-30,P132,S03,6,510.48
2025-07-30,P132,S06,5,425.4
2025-07-30,P133,S09,28,4149.04
2025-07-30,P133,S10,21,3111.78
2025-07-30,P134,S04,5,134.05
2025-07-30,P134,S05,6,160.86
2025-07-30,P134,S07,16,428.96
2025-07-30,P134,S10,7,187.67
2025-07-30,P135,S01,9,980.64
2025-07-30,P135,S02,7,762.72
2025-07-30,P135,S03,14,1525.44
2025-07-30,P135,S05,26,2832.96
2025-07-30,P135,S06,33,3595.68
